Time,open,high,low,close
2024-12-20 17:00:00,13.855,13.855,13.665,13.665
2024-12-20 17:30:00,14.275,15.595,13.705,15.185
2024-12-20 18:00:00,15.165,16.745,14.945,16.745
2024-12-20 18:30:00,16.695,18.195,16.625,16.625
2024-12-20 19:00:00,16.665,18.405,16.665,18.345
2024-12-20 19:30:00,20.375,21.875,20.375,21.705
2024-12-20 20:00:00,21.585,22.795,20.475,20.475
2024-12-20 20:30:00,20.355,20.355,18.195,18.375
2024-12-20 21:00:00,18.415,19.215,17.885,19.095
2024-12-20 21:30:00,19.225,19.225,18.485,18.975
2024-12-20 22:00:00,18.915,19.785,18.915,19.555
2024-12-20 22:30:00,19.605,21.895,19.495,21.155
2024-12-20 23:00:00,21.035,21.085,19.115,19.495
2024-12-20 23:30:00,19.485,20.065,19.395,19.885
2024-12-21 00:00:00,19.715,20.725,19.315,20.715
2024-12-21 00:30:00,20.645,20.645,19.655,19.655
2024-12-21 01:00:00,19.555,19.555,18.275,18.325
2024-12-21 01:30:00,18.375,18.495,16.165,16.655
2024-12-21 02:00:00,16.495,16.495,16.495,16.495
2024-12-23 12:30:00,13.945,14.005,13.875,14.005
2024-12-23 13:00:00,13.875,14.115,13.135,13.135
2024-12-23 13:30:00,13.105,13.905,13.065,13.855
2024-12-23 14:00:00,13.925,14.215,13.825,13.985
2024-12-23 14:30:00,13.995,14.585,13.995,14.375
2024-12-23 15:00:00,14.315,14.655,13.975,14.355
2024-12-23 15:30:00,14.655,14.855,13.535,13.535
2024-12-23 16:00:00,13.565,14.025,13.155,13.315
2024-12-23 16:30:00,13.275,13.995,13.185,13.925
2024-12-23 17:00:00,14.015,14.045,13.695,13.855
2024-12-23 17:30:00,13.235,14.035,13.235,13.605
2024-12-23 18:00:00,13.545,14.185,13.405,13.835
2024-12-23 18:30:00,13.965,14.165,12.915,14.005
2024-12-23 19:00:00,14.145,14.745,14.075,14.435
2024-12-23 19:30:00,14.305,14.795,14.305,14.515
2024-12-23 20:00:00,14.605,15.365,14.605,15.335
2024-12-23 20:30:00,15.325,15.985,15.295,15.985
2024-12-23 21:00:00,15.865,16.165,15.615,16.165
2024-12-23 21:30:00,16.305,16.875,16.245,16.685
2024-12-23 22:00:00,16.795,16.825,16.375,16.375
2024-12-23 22:30:00,16.395,16.605,16.095,16.485
2024-12-23 23:00:00,16.395,16.405,15.905,15.925
2024-12-23 23:30:00,15.955,15.955,15.365,15.465
2024-12-24 00:00:00,15.455,15.585,15.415,15.585
2024-12-24 00:30:00,15.595,15.645,15.285,15.285
2024-12-24 01:00:00,15.345,15.425,15.235,15.255
2024-12-24 01:30:00,15.235,16.755,15.195,16.755
2024-12-24 03:00:00,15.535,15.535,14.295,14.485
2024-12-24 03:30:00,14.465,14.465,14.465,14.465
2024-12-24 11:30:00,12.695,13.175,12.685,13.175
2024-12-24 12:00:00,13.255,14.135,13.255,14.125
2024-12-24 12:30:00,14.135,14.645,14.135,14.645
2024-12-24 13:00:00,14.605,15.515,14.605,15.085
2024-12-24 13:30:00,15.065,15.065,14.185,14.185
2024-12-24 14:00:00,14.105,14.115,13.805,13.965
2024-12-24 14:30:00,13.865,14.615,13.705,14.585
2024-12-24 15:00:00,14.615,14.725,14.425,14.425
2024-12-24 15:30:00,14.435,14.435,13.735,14.105
2024-12-24 16:00:00,14.055,14.625,13.825,14.605
2024-12-24 16:30:00,14.635,15.045,14.635,14.675
2024-12-24 17:00:00,14.635,14.915,14.495,14.495
2024-12-24 17:30:00,14.535,14.535,13.675,13.875
2024-12-24 18:00:00,13.935,15.115,13.935,15.075
2024-12-24 18:30:00,15.065,15.065,13.925,13.925
2024-12-24 19:00:00,13.925,13.925,13.505,13.755
2024-12-24 19:30:00,13.755,14.605,13.755,14.605
